الا عاملين Dislike دول اكيد مش بيفهمو وربنا 😏😏,negative,9
nooo way الغبي هيفضل غبي,negative,5
اللى عامل unlike دا ما بيفهمش والله,negative,7
اتجوزتيه وانت عندك ١٨ سنه وقعدتى ١٧ سنه متجوزاه وبقالك سنه منفصلة يعنى حضرتك عند,negative,26
"خطأ طبي في 2021؟؟؟؟؟ 
Shame on you Egypt 🤦‍♀️🤦‍♀️",negative,9
ما هذا ال shit,negative,4
فكرة اللمبي مسروقة من شخصية Jerry lewiss  اكتبو علي يوتيوب الاسم ده يطلع لكم افل,negative,16
"اللى عاملين Unlike اغبى منه فيه
مايعرفون من فن",negative,8
690 dislike ليييييييييييييييييييييييييه انتوا ما بتحسوش ؟؟؟!!!!,negative,7
نفسي افهم مين المجنون اللي داس dislike,negative,7
انا مش عارف اللى بيعمل dis like ده بيعمله ازاى صحيح مش كل الناس بتفهم,negative,15
و ربنا اللي عامل dislike دا مش بيفهم في الاغاني :/,negative,11
"اللى عامل Dislike للأغنية دى مش عاملها علشان صوت دنيا وحش او الكلمات مش حلوة
هو ",negative,22
"يا بنت الحرامية سارقه الفكرة من Indila - la derniere danse

يا حراميا",negative,12
صوتها ضعيف جدا و الاغنية FAKE اويييييي :&,negative,8
"مين البهايم مع الاعتذار للبهايم ,,, اللي عاملين Dislike !!!",negative,10
في التعليقات بنات بتكتب السونج دي .. السونج السونج .. اسمها أغنية بالعربي او song بالانجليزي .. ايه القرف دا .. يا تكتبي الجملة كاملة عربي يا كاملة انجليزي او فرنسي او اي لغة .. حاجة مستفزة ..,negative,38
على فكره دى عالم اغبيا اصلا ميعرفوش like من dislike,negative,10
اية الغلاسة دي ?! طيب متفترقوش بس تعمل unlike عشان التفاهة دي !,negative,13
اللـ عاملين unlike . . عايزين يتحاكموا,negative,7
"752 Dislike ? 
انتوا شكلكوا من الى بيحبوا اوكا و اورتيجا",negative,11
726 عاملين dislike دول موش بيفهمو,negative,6
710 Dislike   انتو عايشين إزاي كدا ؟,negative,9
الـــنـــاس الـــلـــي عـــامـــلـــيـــن Dislike دول آخـــرهـــم يـــســـمـــعـ,negative,10
ده في ناس عاملة dislike :/ الناس دي جاية من كوكب تاني ولا ايه,negative,14
يلي عامل dislike قلبو حجر,negative,5
في 89 حمار عاملين Unlike :-/,negative,6
اموت واعرف مين ولاد المره اللي عاملين dislike -_- >_<,negative,10
الناس اللى عامله dislike  مش هيموتو موته طبيعية,negative,9
3 اللى عاملين dislike دول لازم يتشنقو فى ميدان عام,negative,10
"انا نفسي اشوف اللي عاملين dis like.
عشان انفخهم",negative,8
هشام جمال ده شخصية fake,negative,5
"Rudy manc فكرة المزيكا من 
غبي حافظ مش فاهم ابتكرو وبلاش غباء",negative,12
اللي دايس dislike احب اقولك انت مبتفهمش,negative,7
"14 k dislikes 
فعلا ناس بتكره الجمال ناس بتكره نفسها ربنا يهديهم لنفسهم",negative,13
13000 مريض عاملين Dislike   >>>>,negative,7
نفسى اهم اى باقف عامل dislike على الفيديو على اساس ايه..,negative,11
هو اللى عاملين unlike دول مرضى نفسيين,negative,7
الناس الحلاليف اللي عاملين unlike ملتهم ايه,negative,7
الناس اللى عاملة dislike دى عاملاه على ايه ؟؟؟ انتو ناس طبيعية ؟؟😣😣,negative,13
"رامز جلال 
ur not good ur sick 
انت خطير على المجتمع 🌚🌚🌚💟💟💟",negative,12
مش عاجبني ال intro,negative,4
Dislike وأفتخر ✌🏻,negative,3
حلقه fake جدا,negative,3
"الاغنية مسروقة من فيلم هندي اسمه KGF و تتر النهاية كذلك
لينك الاغنية الأصلية",negative,13
التتر مسروق من أغنية اجنبية اسمها the future of warfare,negative,10
"الأغنية مسروقة بالحرف من هنا؛: 
The future of warfare sabaton",negative,10
"كثير اكره زينه بس انت غلطت معها ولازم تدفع ثمن الغلط لانه الاطفال مالهم اي ذنب 
",negative,24
ربنا ينتقم منك يا احمد عز ربنا ظهر الحق لو دول مش عياله كان راح عمل تحليل DNA وك,negative,33
انتا مشخصاتي يعني بتحلف كدب روح اعمل dna واحسم لو انتا واثق من حالك ومظلوم,negative,15
"حسستني اخذت الاوسكار
Over over",negative,4
هى over ليه كدة,negative,4
انا داخل بس اعملكم DISLIKE,negative,5
"No comment 🤮🤮🤮🤮🤮
بجد حاجة أخر إسفاف ورخص",negative,7
احلي dislike علي عيونكم 😂🙂,negative,5
كنت متوقعه انه يكون وحش بس بعد مشوفته طلع eggs,negative,10
ايه الخرا دا wtf,negative,4
كدا كتير ياعمر بجد حرااااااام ومش اسف انى عملت dislike,negative,10
كالعادة مش خسارة فيك ال dislike و ال report 😇,negative,10
داخل اعمل dislike  وامشي,negative,5
لما تعمل video clib ب اتنين جنيه,negative,7
اخراجيا تعبانة اوي ومطلعش من زوية شكلك فيها مش حلو والفيديو من متلون متاخد كادرا,negative,29
خرة يا فنانة انا للأسف عملت كومنت وعملت ليكم قيمة بس حرفيا اوسخ اغنية سمعتها في ,negative,22
"I think :
ان الاغنيه خرا اوي يعني بجد",negative,8
محبتش اكمل الحلقه بعد ما سمعت اول جمله لبسمه مع dislike,negative,11
بسمه وهبه بتشتغل ع الفضايح بس عشان ال views ، مذيعه خرا 🤮🤮,negative,13
اللحن مسروق من أغنية ho jaane do aar paar من فيلم KGF,negative,12
10 ألاف dislike من تجار المخدرات 🙃,negative,7
تجار الحشيش عاملين dislike,negative,4
8400 الف مختل عقليا عامل unlike,negative,6
اللى عامل dislike مبيفهمش,negative,4
اللي عملين dislike انتوا ناس معاقين,negative,6
